Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
15.84,2,0.7899317966506967190772972205,0.793105953311973,0.793105953311973,0.790895086991528,0.790895086991528,0.049505802832093,0.0771546438369548029262378236,0.0671853141995050629262378236,0.00996932963744974,2.4476922083662933105489153455,2.8113032090686502096810096173,3.5870943630853765018773208963,196831900
15.85,2,0.7899213682256914773695713879,0.793095500840238,0.793095500840238,0.790884645849474,0.790884645849474,0.0495056606432704,0.0771541369487469204802729627,0.0671812625541519004802729627,0.00997287439459502,2.4474682187623952646696124258,2.8116146549891834036805863813,3.5867619783046446105470625665,196956200
15.86,2,0.7899107529389872013967964880,0.79308486170759,0.79308486170759,0.790874017617851,0.790874017617851,0.0495055339952285,0.0771536390774808340209067391,0.0671772160012701640209067391,0.00997642307621067,2.4472446003319607230668422956,2.8119264477507209121338599002,3.5864300936525418979543476823,197080400
15.87,2,0.7899001485977690013505019838,0.793074233841811,0.793074233841811,0.790863400345062,0.790863400345062,0.0495054159768851,0.0771531502238643590927480530,0.0671731745415677590927480530,0.0099799756822966,2.447021352677345322599647601,2.8122394578600202962791659687,3.5860994945558231550390815025,197204700
15.88,2,0.7898897557975615182134034293,0.793063817934425,0.793063817934425,0.790852994871248,0.790852994871248,0.049505298826693,0.0771526696351115175035632583,0.0671691374222586975035632583,0.00998353221285282,2.4467984538148818085657915099,2.8125519554453608921291047049,3.5857686245345097530986126956,197329000
15.89,2,0.7898792751321501890731869048,0.793053314423038,0.793053314423038,0.790842501425084,0.790842501425084,0.0495051937601925,0.0771521980653536572330232306,0.0671651053974742672330232306,0.00998709266787939,2.4465759249309172502200143898,2.8128647994595616708933436605,3.5854382516808760766480578222,197453200
15.90,2,0.7898687064113368987773319635,0.793042723117356,0.793042723117356,0.790831919816136,0.790831919816136,0.0495051007847343,0.0771517355152958412989336794,0.0671610784679195812989336794,0.00999065704737626,2.4463537656277244196299634497,2.8131788602678276627795751185,3.5851091614915951458404032077,197577500
15.91,2,0.7898582488229934035358565321,0.793032243326692,0.793032243326692,0.79082144947518,0.79082144947518,0.049505012940989,0.0771512819856428836532499151,0.0671570566342994036532499151,0.00999422535134348,2.4461319755075560620934018558,2.8134932671283207039546761099,3.5847805665385565848216835418,197701700
15.92,2,0.7898478021786589102217281283,0.79302177477524,0.79302177477524,0.79081099009158,0.79081099009158,0.0495049329772822,0.0771508367234709150928307394,0.0671530391436898650928307394,0.00999779757978105,2.4459105325828135440521631363,2.8138080315294315408961016285,3.5844524831420370597033445516,197826000
15.93,2,0.7898374680716919588958567602,0.793011419170908,0.793011419170908,0.790800643382581,0.790800643382581,0.0495048588507364,0.0771504012367017533070286106,0.0671490275040128533070286106,0.0100013737326889,2.4456894796343424755954058996,2.8141231300737770215385071322,3.5841248756864346295346545211,197950300
15.94,2,0.7898269450937212204725567614,0.79300087484272,0.79300087484272,0.790790107572258,0.790790107572258,0.0495047988342804,0.0771499732650593868712008214,0.0671450194549922868712008214,0.0100049538100671,2.4454687514920799259778705126,2.8144385975244823187081494065,3.5837977951154755821642221729,198074500
15.95,2,0.7898165330588833090316916505,0.792990441866497,0.792990441866497,0.790779682840359,0.790779682840359,0.0495047447120916,0.0771495550702209975334911273,0.0671410172583053975334911273,0.0100085378119156,2.445248412530368640497320143,2.8147552691046065311682061847,3.5834719751038443405346672962,198198800
15.96,2,0.7898062335592436706749509309,0.792980121782689,0.792980121782689,0.79076937078089,0.79076937078089,0.0495046949227404,0.0771491451454693238542735565,0.0671370194072349238542735565,0.0100121257382344,2.4450284191670142560127974386,2.8150714273674528248138027878,3.583145876093500360962857525,198323100
15.97,2,0.7897959451851446669572165090,0.792969813146152,0.792969813146152,0.790759069860529,0.790759069860529,0.0495046537636195,0.0771487442451946606742149433,0.0671330266561711606742149433,0.0100157175890235,2.444808792595776679800554166,2.8153888010245689328787640639,3.5828210530117849993453257955,198447300
15.98,2,0.7897854677533098579183725692,0.792959315651615,0.792959315651615,0.790748579651884,0.790748579651884,0.0495046282302425,0.0771483523700959378258138175,0.0671290390058129378258138175,0.010019313364283,2.4445895324187486839282375356,2.8157065196616276126259066558,3.5824967182543819930263946899,198571600
15.99,2,0.7897752018545158677783278966,0.792949030107746,0.792949030107746,0.790738301234235,0.790738301234235,0.0495046035724415,0.0771479687670114722618073531,0.0671250557029986722618073531,0.0100229130640128,2.4443706166415101756720993127,2.8160245948000374970749209776,3.5821728881387927050029907068,198695900
16.00,2,0.7897648470778249953203666718,0.792938655946826,0.792938655946826,0.790727933830307,0.790727933830307,0.0495045910412205,0.0771475941904292972609740668,0.0671210775022163972609740668,0.0100265166882129,2.4441520664606253594954844258,2.8163438846755109909439145644,3.5818503310760554882365412139,198820100
16.01,2,0.7897546042425380104607201042,0.792928394110587,0.792928394110587,0.79071767850429,0.79071767850429,0.0495045836202363,0.0771472286410457991948596963,0.0671171044041624991948596963,0.0100301242368833,2.4439338814781084130918537637,2.816662649027320424060148683,3.5815274726376999501027792561,198944400
16.02,2,0.7897443735270733886160964687,0.792918144690315,0.792918144690315,0.790707435312876,0.790707435312876,0.0495045840446546,0.0771468713655965205903337502,0.0671131356555724205903337502,0.0100337357100241,2.4437160396965964057159476922,2.8169817694731097266815134593,3.5812051158421964789875183939,199068600
16.03,2,0.7897341527524411177802049839,0.792907905532025,0.792907905532025,0.790697202074416,0.790697202074416,0.0495045931447407,0.0771465231186681803618376243,0.0671091720110329803618376243,0.0100373511076352,2.4434985623154835418311111395,2.8173021040906084990095898094,3.580884029166502656259915139,199192900
16.04,2,0.7897239435072836662677621810,0.792897678212195,0.792897678212195,0.790686980379491,0.790686980379491,0.0495046104888934,0.0771461835239405646430626591,0.0671052130942239646430626591,0.0100409704297166,2.4432814381360568639222004343,2.8176227885926487868260409035,3.5805634335171661807565527756,199317200
16.05,2,0.7897135453785396481741090435,0.79288726216931,0.79288726216931,0.790676569570644,0.790676569570644,0.0495046423270018,0.0771458518279997157769076485,0.0671012581517314157769076485,0.0100445936762683,2.443064645156664846869769623,2.8179438345365284958664946134,3.5802433452103859760980623473,199441400
16.06,2,0.7897032581897800945434282295,0.79287695746235,0.79287695746235,0.790666269837068,0.790666269837068,0.0495046796904175,0.0771455295395680294476896505,0.0670973086922776294476896505,0.0100482208472904,2.4428482261810931275328613546,2.8182652183993309570587850599,3.5799237286018933335552625889,199565700
16.07,2,0.7896930825283722439162359468,0.792866764665905,0.792866764665905,0.790656081766846,0.790656081766846,0.0495047221825242,0.0771452162823237955256984101,0.0670933643395409955256984101,0.0100518519427828,2.4426321700105887483963319557,2.8185878155825682834746159306,3.5796053782348269102580530781,199690000
